Name,PlayerId,YR,Wt,BMI,Total_TD,2PM,Total_Pts,PB,AP1,AV
Sean McGrath,McGrSe00,2016,247,29.3,0,,0,0,0,0
Matt McGloin,McGlMa01,2013,203,26.8,0,,0,0,0,4
Willis McGahee,McGaWi00,2012,228,30.9,4,1,26,0,0,7
Willis McGahee,McGaWi00,2013,228,30.9,2,,12,0,0,2
Willis McGahee,McGaWi00,2011,228,30.9,5,1,32,1,0,7
Darren McFadden,McFaDa00,2011,210,27,5,,30,0,0,5
Darren McFadden,McFaDa00,2014,210,27,2,,12,0,0,4
Darren McFadden,McFaDa00,2012,210,27,3,,18,0,0,4
Darren McFadden,McFaDa00,2015,210,27,3,1,20,0,0,7
Darren McFadden,McFaDa00,2013,210,27,5,,30,0,0,3
Tanner McEvoy,McEvTa01,2016,230,26.6,2,,12,0,0,1
Vance McDonald,McDoVa00,2015,267,32.5,3,,18,0,0,2
Vance McDonald,McDoVa00,2013,267,32.5,0,,0,0,0,1
Vance McDonald,McDoVa00,2016,267,32.5,4,,24,0,0,3
Vance McDonald,McDoVa00,2014,267,32.5,0,,0,0,0,0
LeSean McCoy,McCoLe01,2013,215,30.8,11,,66,1,1,15
LeSean McCoy,McCoLe01,2016,215,30.8,14,1,86,1,0,13
LeSean McCoy,McCoLe01,2011,215,30.8,20,,120,1,1,11
LeSean McCoy,McCoLe01,2014,215,30.8,5,,30,1,0,8
LeSean McCoy,McCoLe01,2012,215,30.8,5,,30,0,0,7
LeSean McCoy,McCoLe01,2015,215,30.8,5,1,32,1,0,8
Colt McCoy,McCoCo00,2011,209,26.8,0,,0,0,0,5
Colt McCoy,McCoCo00,2014,209,26.8,1,,6,0,0,3
Anthony McCoy,McCoAn00,2011,244,28.9,0,,0,0,0,1
Anthony McCoy,McCoAn00,2012,244,28.9,3,,18,0,0,3
Anthony McCoy,McCoAn00,2015,244,28.9,0,,0,0,0,0
Luke McCown,McCoLu00,2015,208,26,0,,0,0,0,1
Luke McCown,McCoLu00,2013,208,26,0,,0,0,0,0
Luke McCown,McCoLu00,2014,208,26,0,,0,0,0,0
Josh McCown,McCoJo01,2013,212,25.8,1,,6,0,0,8
Josh McCown,McCoJo01,2016,212,25.8,0,,0,0,0,1
Josh McCown,McCoJo01,2014,212,25.8,3,,18,0,0,4
Josh McCown,McCoJo01,2015,212,25.8,1,,6,0,0,5
Dexter McCluster,McClDe00,2011,165,24.4,2,,12,0,0,4
Dexter McCluster,McClDe00,2014,165,24.4,1,,6,0,0,2
Dexter McCluster,McClDe00,2012,165,24.4,1,,6,0,0,3
Dexter McCluster,McClDe00,2015,165,24.4,2,1,14,0,0,3
Dexter McCluster,McClDe00,2013,165,24.4,4,,24,1,0,7
Dexter McCluster,McClDe00,2016,165,24.4,0,,0,0,0,0
Le'Ron McClain,McClLe00,2011,260,35.3,2,,12,0,0,1
Le'Ron McClain,McClLe00,2012,260,35.3,0,,0,0,0,0
Le'Ron McClain,McClLe00,2013,260,35.3,0,,0,0,0,0
A.J. McCarron,McCaA.00,2015,220,27.5,0,,0,0,0,3
Matt McCants,McCaMa00,2014,308,36.5,0,,0,0,0,1
Tre McBride,McBrTr00,2015,210,28.5,1,,6,0,0,0
Vince Mayle,MaylVi00,2016,224,28.8,0,,0,0,0,0
Rishard Matthews,MattRi00,2012,212,28.7,0,,0,0,0,1
Rishard Matthews,MattRi00,2015,212,28.7,4,,24,0,0,5
Rishard Matthews,MattRi00,2013,212,28.7,2,,12,0,0,3
Rishard Matthews,MattRi00,2016,212,28.7,9,,54,0,0,9
Rishard Matthews,MattRi00,2014,212,28.7,2,,12,0,0,1
Jordan Matthews,MattJo00,2014,212,26.5,8,,48,0,0,6
Jordan Matthews,MattJo00,2015,212,26.5,8,,48,0,0,7
Jordan Matthews,MattJo00,2016,212,26.5,3,,18,0,0,7
Chris Matthews,MattCh00,2015,218,25.8,1,,6,0,0,2
Robert Mathis,MathRo20,2016,235,30.2,1,,6,0,0,6
Ryan Mathews,MathRy00,2012,220,29.8,1,,6,0,0,6
Ryan Mathews,MathRy00,2015,220,29.8,7,,42,0,0,4
Ryan Mathews,MathRy00,2013,220,29.8,7,,42,0,0,11
Ryan Mathews,MathRy00,2016,220,29.8,9,2,58,0,0,5
Ryan Mathews,MathRy00,2011,220,29.8,6,,36,1,0,13
Ryan Mathews,MathRy00,2014,220,29.8,3,,18,0,0,3
Jeron Mastrud,MastJe20,2011,247,29.3,0,,0,0,0,0
Jeron Mastrud,MastJe20,2012,247,29.3,0,,0,0,0,0
Jeron Mastrud,MastJe20,2013,247,29.3,0,,0,0,0,1
Mohamed Massaquoi,MassMo00,2011,210,27.7,2,,12,0,0,2
Mohamed Massaquoi,MassMo00,2012,210,27.7,0,,0,0,0,2
Tre Mason,MasoTr00,2015,207,30.6,1,,6,0,0,2
Tre Mason,MasoTr00,2014,207,30.6,5,,30,0,0,5
Derrick Mason,MasoDe00,2011,190,27.3,0,,0,0,0,1
Freddie Martino,MartFr00,2016,195,26.4,1,,6,0,0,1
Ruvell Martin,MartRu00,2012,217,26.4,0,,0,0,0,0
Ruvell Martin,MartRu00,2011,217,26.4,0,,0,0,0,1
Keshawn Martin,MartKe01,2014,190,27.3,0,,0,0,0,1
Keshawn Martin,MartKe01,2012,190,27.3,1,,6,0,0,1
Keshawn Martin,MartKe01,2015,190,27.3,2,,12,0,0,3
Keshawn Martin,MartKe01,2013,190,27.3,3,,18,0,0,2
Doug Martin,MartDo00,2014,223,32.9,2,,12,0,0,3
Doug Martin,MartDo00,2012,223,32.9,12,,72,1,0,14
Doug Martin,MartDo00,2015,223,32.9,7,,42,1,1,11
Doug Martin,MartDo00,2013,223,32.9,1,,6,0,0,3
Doug Martin,MartDo00,2016,223,32.9,3,,18,0,0,4
Jalin Marshall,MarsJa01,2016,200,28.7,2,,12,0,0,1
Brandon Marshall,MarsBr00,2011,229,27.9,6,,36,1,0,11
Brandon Marshall,MarsBr00,2014,229,27.9,8,,48,0,0,6
Brandon Marshall,MarsBr00,2012,229,27.9,11,,66,1,1,14
Brandon Marshall,MarsBr00,2015,229,27.9,14,,84,1,0,13
Brandon Marshall,MarsBr00,2013,229,27.9,12,2,76,1,0,12
Brandon Marshall,MarsBr00,2016,229,27.9,3,,18,0,0,5
Bradley Marquez,MarqBr00,2015,196,28.1,0,,0,0,0,1
Bradley Marquez,MarqBr00,2016,196,28.1,0,,0,0,0,0
Marcus Mariota,MariMa01,2016,215,26.2,2,,12,0,0,13
Marcus Mariota,MariMa01,2015,215,26.2,3,,18,0,0,9
Marc Mariani,MariMa00,2011,190,25.1,1,,6,0,0,1
Marc Mariani,MariMa00,2016,190,25.1,0,,0,0,0,0
Marc Mariani,MariMa00,2014,190,25.1,0,,0,0,0,0
Marc Mariani,MariMa00,2015,190,25.1,0,,0,0,0,2
Owen Marecic,MareOw00,2011,246,33.4,0,,0,0,0,0
Owen Marecic,MareOw00,2012,246,33.4,0,,0,0,0,0
Johnny Manziel,ManzJo00,2015,207,28.1,0,,0,0,0,4
Johnny Manziel,ManzJo00,2014,207,28.1,1,,6,0,0,1
EJ Manuel,ManuEJ00,2015,237,28.1,1,,6,0,0,2
EJ Manuel,ManuEJ00,2013,237,28.1,2,,12,0,0,5
EJ Manuel,ManuEJ00,2016,237,28.1,0,,0,0,0,1
EJ Manuel,ManuEJ00,2014,237,28.1,1,,6,0,0,2
Mario Manningham,MannMa01,2011,185,25.1,4,,24,0,0,4
Mario Manningham,MannMa01,2012,185,25.1,1,,6,0,0,5
Mario Manningham,MannMa01,2013,185,25.1,0,,0,0,0,1
Peyton Manning,MannPe00,2012,230,27.3,0,,0,1,1,15
Peyton Manning,MannPe00,2015,230,27.3,0,,0,0,0,2
Peyton Manning,MannPe00,2013,230,27.3,1,,6,1,1,19
Peyton Manning,MannPe00,2014,230,27.3,0,,0,1,0,16
Eli Manning,MannEl00,2011,218,26.5,1,,6,1,0,15
Eli Manning,MannEl00,2014,218,26.5,1,,6,0,0,12
Eli Manning,MannEl00,2012,218,26.5,0,,0,1,0,15
Eli Manning,MannEl00,2015,218,26.5,0,,0,1,0,14
Eli Manning,MannEl00,2013,218,26.5,0,,0,0,0,7
Eli Manning,MannEl00,2016,218,26.5,0,,0,0,0,9
Chris Manhertz,ManhCh00,2016,255,29.5,0,,0,0,0,0
Steve Maneri,ManeSt00,2011,275,31.8,0,,0,0,0,1
Steve Maneri,ManeSt00,2012,275,31.8,0,,0,0,0,0
Ryan Mallett,MallRy00,2015,240,27.7,1,,6,0,0,3
Ryan Mahaffey,MahaRy00,2011,255,32.7,0,,0,0,0,0
Jeff Maehl,MaehJe00,2014,190,25.8,0,,0,0,0,0
Jeff Maehl,MaehJe00,2013,190,25.8,1,,6,0,0,1
Mossis Madu,MaduMo00,2011,197,26.7,0,,0,0,0,1
Jeremy Maclin,MaclJe00,2014,200,27.1,10,,60,1,0,10
Jeremy Maclin,MaclJe00,2011,200,27.1,5,,30,0,0,7
Jeremy Maclin,MaclJe00,2015,200,27.1,8,,48,0,0,11
Jeremy Maclin,MaclJe00,2012,200,27.1,7,,42,0,0,6
Jeremy Maclin,MaclJe00,2016,200,27.1,2,,12,0,0,5
Marshawn Lynch,LyncMa00,2012,215,30,12,,72,1,1,15
Marshawn Lynch,LyncMa00,2015,215,30,3,1,20,0,0,4
Marshawn Lynch,LyncMa00,2013,215,30,14,,84,1,0,12
Marshawn Lynch,LyncMa00,2011,215,30,13,,78,1,0,9
Marshawn Lynch,LyncMa00,2014,215,30,17,,102,1,0,13
Kregg Lumpkin,LumpKr00,2011,222,31,0,,0,0,0,3
Kregg Lumpkin,LumpKr00,2012,222,31,0,,0,0,0,0
Andrew Luck,LuckAn00,2014,240,29.2,3,,18,1,0,16
Andrew Luck,LuckAn00,2012,240,29.2,5,,30,1,0,13
Andrew Luck,LuckAn00,2015,240,29.2,0,,0,0,0,4
Andrew Luck,LuckAn00,2013,240,29.2,4,,24,1,0,15
Andrew Luck,LuckAn00,2016,240,29.2,2,,12,0,0,16
Ricardo Louis,LouiRi00,2016,215,27.6,0,,0,0,0,1
Erik Lorig,LoriEr99,2012,265,32.3,1,,6,0,0,1
Erik Lorig,LoriEr99,2013,265,32.3,0,,0,0,0,0
Erik Lorig,LoriEr99,2011,265,32.3,0,,0,0,0,0
Erik Lorig,LoriEr99,2014,265,32.3,1,,6,0,0,0
Joe Looney,LoonJo01,2016,309,38.6,0,,0,0,0,2
Stefan Logan,LogaSt00,2012,177,27.7,0,,0,0,0,0
Stefan Logan,LogaSt00,2011,177,27.7,0,,0,0,0,0
Sean Locklear,LockSe20,2012,301,36.6,0,,0,0,0,6
Ricardo Lockette,LockRi00,2014,211,27.1,2,,12,0,0,2
Ricardo Lockette,LockRi00,2015,211,27.1,1,,6,0,0,1
Ricardo Lockette,LockRi00,2013,211,27.1,0,,0,0,0,1
Tyler Lockett,LockTy00,2015,181,26,8,,48,1,1,9
Tyler Lockett,LockTy00,2016,181,26,2,,12,0,0,6
Jake Locker,LockJa00,2011,228,29.3,1,,6,0,0,2
Jake Locker,LockJa00,2014,228,29.3,1,,6,0,0,3
Jake Locker,LockJa00,2012,228,29.3,1,,6,0,0,6
Jake Locker,LockJa00,2013,228,29.3,2,,12,0,0,5
Brandon Lloyd,LloyBr00,2011,192,26,5,,30,0,0,5
Brandon Lloyd,LloyBr00,2012,192,26,5,,30,0,0,10
Brandon Lloyd,LloyBr00,2014,192,26,1,,6,0,0,2
Greg Little,LittGr00,2012,215,27.6,4,,24,0,0,5
Greg Little,LittGr00,2013,215,27.6,2,,12,0,0,3
Greg Little,LittGr00,2011,215,27.6,2,,12,0,0,5
Greg Little,LittGr00,2014,215,27.6,0,,0,0,0,1
Jeff Linkenbach,LinkJe20,2013,303,35,0,,0,0,0,3
Zach Line,LineZa01,2016,230,30.3,0,,0,0,0,0
Zach Line,LineZa01,2015,230,30.3,3,,18,0,0,1
Ryan Lindley,LindRy00,2012,229,28.6,0,,0,0,0,-5
Tommylee Lewis,LewiTo00,2016,168,26.3,0,,0,0,0,1
Thaddeus Lewis,LewiTh01,2013,200,27.1,1,,6,0,0,3
Roger Lewis,LewiRo03,2016,196,26.6,2,,12,0,0,1
Marcedes Lewis,LewiMa00,2013,255,29.5,4,,24,0,0,2
Marcedes Lewis,LewiMa00,2016,255,29.5,1,,6,0,0,1
Marcedes Lewis,LewiMa00,2011,255,29.5,0,,0,0,0,4
Marcedes Lewis,LewiMa00,2014,255,29.5,2,,12,0,0,1
Marcedes Lewis,LewiMa00,2012,255,29.5,4,,24,0,0,4
Marcedes Lewis,LewiMa00,2015,255,29.5,0,,0,0,0,2
Dion Lewis,LewiDi00,2011,195,29.6,1,,6,0,0,1
Dion Lewis,LewiDi00,2016,195,29.6,0,,0,0,0,3
Dion Lewis,LewiDi00,2012,195,29.6,1,,6,0,0,1
Dion Lewis,LewiDi00,2015,195,29.6,4,,24,0,0,6
Mikel Leshoure,LeshMi00,2012,230,31.2,9,,54,0,0,5
Brian Leonhardt,LeonBr01,2014,255,30.2,1,,6,0,0,0
Brian Leonard,LeonBr00,2013,226,29,0,,0,0,0,3
Brian Leonard,LeonBr00,2011,226,29,0,,0,0,0,2
Brian Leonard,LeonBr00,2012,226,29,0,,0,0,0,1
Charles Leno,LenoCh00,2014,303,36.9,0,,0,0,0,1
Matt Lengel,LengMa00,2016,266,30,1,,6,0,0,0
Tim Lelito,LeliTi00,2016,315,38.3,0,,0,0,0,5
Marqise Lee,LeexMa00,2014,192,26,1,,6,0,0,3
Marqise Lee,LeexMa00,2015,192,26,1,,6,0,0,2
Marqise Lee,LeexMa00,2016,192,26,4,,24,0,0,7
Khari Lee,LeexKh00,2015,235,28.6,0,,0,0,0,0
Khari Lee,LeexKh00,2016,235,28.6,0,,0,0,0,0
Donald Lee,LeexDo00,2011,255,31.9,0,,0,0,0,1
Vonta Leach,LeacVo00,2011,246,33.4,0,,0,1,1,1
Vonta Leach,LeacVo00,2012,246,33.4,1,,6,1,1,2
Vonta Leach,LeacVo00,2013,246,33.4,1,,6,0,0,0
Cody Latimer,LatiCo00,2014,215,26.9,0,,0,0,0,0
Cody Latimer,LatiCo00,2015,215,26.9,1,,6,0,0,0
Cody Latimer,LatiCo00,2016,215,26.9,0,,0,0,0,1
Paul Lasike,LasiPa00,2016,258,36,0,,0,0,0,0
Daniel Lasco,LascDa00,2016,205,27.8,0,,0,0,0,0
Spencer Larsen,LarsSp99,2013,235,30.2,0,,0,0,0,0
Spencer Larsen,LarsSp99,2011,235,30.2,0,,0,0,0,1
Jeremy Langford,LangJe00,2015,211,28.6,7,1,44,0,0,6
Jeremy Langford,LangJe00,2016,211,28.6,4,,24,0,0,2
Jorvorskie Lane,LaneJo00,2012,277,38.6,3,1,20,0,0,1
Jorvorskie Lane,LaneJo00,2014,277,38.6,0,,0,0,0,0
Jorvorskie Lane,LaneJo00,2015,277,38.6,0,,0,0,0,0
Jarvis Landry,LandJa00,2014,205,27.8,5,,30,0,0,7
Jarvis Landry,LandJa00,2015,205,27.8,6,1,38,1,0,9
Jarvis Landry,LandJa00,2016,205,27.8,4,1,26,1,0,10
Jake Lampman,LampJa00,2016,205,27.8,0,,0,0,0,0
Kendall Lamm,LammKe00,2015,305,35.2,0,,0,0,0,3
Brandon LaFell,LaFeBr00,2016,208,26.7,6,,36,0,0,7
Brandon LaFell,LaFeBr00,2011,208,26.7,3,,18,0,0,6
Brandon LaFell,LaFeBr00,2014,208,26.7,7,,42,0,0,11
Brandon LaFell,LaFeBr00,2012,208,26.7,4,,24,0,0,6
Brandon LaFell,LaFeBr00,2015,208,26.7,0,,0,0,0,5
Brandon LaFell,LaFeBr00,2013,208,26.7,5,,30,0,0,6
Eddie Lacy,LacyEd00,2014,231,32.2,13,,78,0,0,16
Eddie Lacy,LacyEd00,2015,231,32.2,5,,30,0,0,7
Eddie Lacy,LacyEd00,2013,231,32.2,11,,66,1,0,10
Eddie Lacy,LacyEd00,2016,231,32.2,0,,0,0,0,3
John Kuhn,KuhnJo00,2012,255,34.6,1,,6,0,0,2
John Kuhn,KuhnJo00,2015,255,34.6,2,,12,1,0,1
John Kuhn,KuhnJo00,2013,255,34.6,1,,6,0,0,1
John Kuhn,KuhnJo00,2016,255,34.6,5,,30,0,0,1
John Kuhn,KuhnJo00,2011,255,34.6,6,,36,1,0,2
John Kuhn,KuhnJo00,2014,255,34.6,1,,6,1,1,1
Tyler Kroft,KrofTy00,2015,240,28.5,1,,6,0,0,1
Tyler Kroft,KrofTy00,2016,240,28.5,0,,0,0,0,1
Ben Koyack,KoyaBe00,2016,249,29.5,1,,6,0,0,1
Cyrus Kouandjio,KouaCy00,2015,322,36.3,0,,0,0,0,2
Kevin Kolb,KolbKe00,2012,218,27.2,1,,6,0,0,3
Kevin Kolb,KolbKe00,2011,218,27.2,0,,0,0,0,5
Johnny Knox,KnoxJo00,2011,185,25.1,2,,12,0,0,6
Jim Kleinsasser,KleiJi00,2011,272,34,0,,0,0,0,0
Denver Kirkland,KirkDe01,2016,340,40.3,0,,0,0,0,2
Tavarres King,KingTa00,2016,189,25.6,0,,0,0,0,0
Jeff King,KingJe00,2012,250,29.6,0,,0,0,0,1
Jeff King,KingJe00,2011,250,29.6,3,,18,0,0,2
Cody Kessler,KessCo00,2016,224,29.6,0,,0,0,0,3
Joe Kerridge,KerrJo00,2016,242,32.8,0,,0,0,0,0
Jeremy Kerley,KerlJe00,2014,188,27.8,1,,6,0,0,4
Jeremy Kerley,KerlJe00,2012,188,27.8,3,,18,0,0,7
Jeremy Kerley,KerlJe00,2015,188,27.8,2,,12,0,0,1
Jeremy Kerley,KerlJe00,2013,188,27.8,3,,18,0,0,4
Jeremy Kerley,KerlJe00,2016,188,27.8,3,,18,0,0,5
Jeremy Kerley,KerlJe00,2011,188,27.8,1,,6,0,0,3
Lance Kendricks,KendLa00,2012,240,30,4,1,26,0,0,4
Lance Kendricks,KendLa00,2015,240,30,2,,12,0,0,2
Lance Kendricks,KendLa00,2013,240,30,4,,24,0,0,2
Lance Kendricks,KendLa00,2016,240,30,2,,12,0,0,3
Lance Kendricks,KendLa00,2011,240,30,0,,0,0,0,2
Lance Kendricks,KendLa00,2014,240,30,5,,30,0,0,2
Reggie Kelly,KellRe00,2011,255,31,0,,0,0,0,0
Dennis Kelly,KellDe00,2016,304,33.4,0,,0,0,0,3
Robert Kelley,KellRo00,2016,228,30.9,7,,42,0,0,5
Dustin Keller,KellDu00,2011,248,31.8,5,,30,0,0,6
Dustin Keller,KellDu00,2012,248,31.8,2,,12,0,0,2
Travis Kelce,KelcTr00,2014,255,30.2,6,,36,0,0,9
Travis Kelce,KelcTr00,2015,255,30.2,5,2,34,1,0,9
Travis Kelce,KelcTr00,2016,255,30.2,4,1,26,1,1,10
Case Keenum,KeenCa00,2013,209,26.8,1,,6,0,0,4
Case Keenum,KeenCa00,2015,209,26.8,0,,0,0,0,2
Case Keenum,KeenCa00,2016,209,26.8,1,,6,0,0,3
Jermaine Kearse,KearJe01,2014,212,28,1,,6,0,0,6
Jermaine Kearse,KearJe01,2012,212,28,0,,0,0,0,0
Jermaine Kearse,KearJe01,2015,212,28,5,,30,0,0,7
Jermaine Kearse,KearJe01,2013,212,28,4,,26,0,0,4
Jermaine Kearse,KearJe01,2016,212,28,1,,6,0,0,4
Nick Kasa,KasaNi00,2013,269,31.1,1,,6,0,0,0
Deji Karim,KariDe00,2011,200,27.9,0,,0,0,0,2
Deji Karim,KariDe00,2013,200,27.9,0,,0,0,0,0
Colin Kaepernick,KaepCo00,2013,225,27.4,4,,24,0,0,15
Colin Kaepernick,KaepCo00,2016,225,27.4,2,1,14,0,0,9
Colin Kaepernick,KaepCo00,2014,225,27.4,1,,6,0,0,12
Colin Kaepernick,KaepCo00,2012,225,27.4,5,,30,0,0,9
Colin Kaepernick,KaepCo00,2015,225,27.4,1,,6,0,0,4
Kyle Juszczyk,JuszKy00,2013,248,31.8,0,,0,0,0,0
Kyle Juszczyk,JuszKy00,2016,248,31.8,1,1,8,1,0,2
Kyle Juszczyk,JuszKy00,2014,248,31.8,1,,6,0,0,2
Kyle Juszczyk,JuszKy00,2015,248,31.8,4,,24,0,0,2
Maurice Jones-Drew,DrewMa00,2012,205,31.2,2,,12,0,0,3
Maurice Jones-Drew,DrewMa00,2013,205,31.2,5,,30,0,0,4
Maurice Jones-Drew,DrewMa00,2011,205,31.2,11,,66,1,1,13
Maurice Jones-Drew,DrewMa00,2014,205,31.2,0,,0,0,0,1
Thomas Jones,JoneTh00,2011,220,31.6,0,,0,0,0,2
Taiwan Jones,JoneTa00,2011,202,28.2,0,,0,0,0,1
Taiwan Jones,JoneTa00,2015,202,28.2,1,,6,0,0,1
Taiwan Jones,JoneTa00,2012,202,28.2,0,,0,0,0,0
Taiwan Jones,JoneTa00,2016,202,28.2,0,,0,0,0,0
Taiwan Jones,JoneTa00,2013,202,28.2,0,,0,0,0,1
T.J. Jones,JoneT.00,2015,188,25.5,1,,6,0,0,1
Matt Jones,JoneMa04,2015,235,31,4,,24,0,0,6
Matt Jones,JoneMa04,2016,235,31,3,,18,0,0,4
Marvin Jones,JoneMa02,2013,198,25.4,10,,60,0,0,7
Marvin Jones,JoneMa02,2015,198,25.4,4,,24,0,0,9
Marvin Jones,JoneMa02,2012,198,25.4,1,,6,0,0,2
Marvin Jones,JoneMa02,2016,198,25.4,4,,24,0,0,8
Landry Jones,JoneLa02,2015,225,27.4,0,,0,0,0,1
Landry Jones,JoneLa02,2016,225,27.4,0,,0,0,0,2
Julio Jones,JoneJu02,2011,220,26.8,8,,48,0,0,10
Julio Jones,JoneJu02,2014,220,26.8,6,,36,1,0,14
Julio Jones,JoneJu02,2012,220,26.8,10,,60,1,0,13
Julio Jones,JoneJu02,2015,220,26.8,9,,54,1,1,16
Julio Jones,JoneJu02,2013,220,26.8,2,,12,0,0,5
Julio Jones,JoneJu02,2016,220,26.8,6,,36,1,1,16
James Jones,JoneJa04,2013,208,27.4,3,,18,0,0,7
James Jones,JoneJa04,2011,208,27.4,7,,42,0,0,8
James Jones,JoneJa04,2014,208,27.4,6,,36,0,0,4
James Jones,JoneJa04,2012,208,27.4,14,,84,0,0,7
James Jones,JoneJa04,2015,208,27.4,8,2,52,0,0,8
Jacoby Jones,JoneJa03,2015,192,24,0,,0,0,0,0
Jacoby Jones,JoneJa03,2013,192,24,3,,18,0,0,4
Jacoby Jones,JoneJa03,2011,192,24,3,,18,0,0,6
Jacoby Jones,JoneJa03,2014,192,24,1,,6,0,0,2
Jacoby Jones,JoneJa03,2012,192,24,4,,24,1,1,7
Greg Jones,JoneGr01,2013,248,32.7,0,,0,0,0,0
Greg Jones,JoneGr01,2011,248,32.7,1,,6,0,0,0
Greg Jones,JoneGr01,2012,248,32.7,0,,0,0,0,0
Felix Jones,JoneFe00,2013,200,27.1,0,,0,0,0,2
Felix Jones,JoneFe00,2011,200,27.1,1,,6,0,0,6
Felix Jones,JoneFe00,2012,200,27.1,5,,30,0,0,5
Donald Jones,JoneDo00,2011,214,29,1,,6,0,0,2
Donald Jones,JoneDo00,2012,214,29,4,,24,0,0,4
Dominique Jones,JoneDo01,2016,255,31.9,1,,6,0,0,1
Dominique Jones,JoneDo01,2013,255,31.9,0,,0,0,0,0
Cyrus Jones,JoneCy00,2016,197,28.3,0,,0,0,0,1
Will Johnson,JohnWi00,2014,238,30.6,0,,0,0,0,0
Will Johnson,JohnWi00,2012,238,30.6,1,,6,0,0,1
Will Johnson,JohnWi00,2015,238,30.6,1,1,8,0,0,0
Will Johnson,JohnWi00,2013,238,30.6,1,,6,0,0,0
Storm Johnson,JohnSt03,2014,209,28.3,2,,12,0,0,0
Steve Johnson,JohnSt00,2013,210,27,3,1,20,0,0,5
Steve Johnson,JohnSt00,2011,210,27,7,,42,0,0,8
Steve Johnson,JohnSt00,2014,210,27,3,,18,0,0,3
Steve Johnson,JohnSt00,2012,210,27,6,,36,0,0,9
Steve Johnson,JohnSt00,2015,210,27,3,,18,0,0,3
Quinn Johnson,JohnQu00,2012,251,34,0,,0,0,0,0
Mike Johnson,JohnMi23,2012,301,34.8,1,,6,0,0,2
Malcolm Johnson,JohnMa06,2015,231,30.5,0,,0,0,0,0
Malcolm Johnson,JohnMa06,2016,231,30.5,0,,0,0,0,0
Josh Johnson,JohnJo05,2011,198,24.7,0,,0,0,0,1
Jeremiah Johnson,JohnJe01,2011,198,29.2,0,,0,0,0,1
Duke Johnson,JohnDu00,2016,206,30.4,1,,6,0,0,5
Duke Johnson,JohnDu00,2015,206,30.4,2,,12,0,0,5
Dennis Johnson,JohnDe02,2013,212,32.2,0,,0,0,0,1
David Johnson,JohnDa05,2014,270,34.7,0,,0,0,0,0
David Johnson,JohnDa05,2011,270,34.7,1,,6,0,0,1
David Johnson,JohnDa05,2015,270,34.7,0,,0,0,0,0
David Johnson,JohnDa08,2015,224,29.6,13,,78,0,0,9
David Johnson,JohnDa05,2013,270,34.7,0,,0,0,0,1
David Johnson,JohnDa05,2016,270,34.7,0,1,2,0,0,1
David Johnson,JohnDa08,2016,224,29.6,20,1,122,1,1,15
Darius Johnson,JohnDa06,2013,175,25.1,1,,6,0,0,2
Damaris Johnson,JohnDa04,2014,175,26.6,1,,6,0,0,3
Damaris Johnson,JohnDa04,2012,175,26.6,1,,6,0,0,3
Damaris Johnson,JohnDa04,2013,175,26.6,0,,0,0,0,0
Chris Johnson,JohnCh04,2012,195,27.2,6,,36,0,0,9
Chris Johnson,JohnCh04,2015,195,27.2,3,,18,0,0,6
Chris Johnson,JohnCh04,2013,195,27.2,10,,60,0,0,9
Chris Johnson,JohnCh04,2011,195,27.2,4,,24,0,0,9
Chris Johnson,JohnCh04,2014,195,27.2,2,,12,0,0,5
Charles Johnson,JohnCh08,2016,215,27.6,0,,0,0,0,2
Charles Johnson,JohnCh08,2014,215,27.6,2,1,14,0,0,4
Charles Johnson,JohnCh08,2015,215,27.6,0,,0,0,0,1
Chad Johnson,JohnCh01,2011,192,25.3,1,,6,0,0,3
Calvin Johnson,JohnCa00,2012,239,28.3,5,,30,1,1,14
Calvin Johnson,JohnCa00,2015,239,28.3,9,,54,1,0,10
Calvin Johnson,JohnCa00,2013,239,28.3,12,,72,1,1,12
Calvin Johnson,JohnCa00,2011,239,28.3,16,,96,1,1,15
Calvin Johnson,JohnCa00,2014,239,28.3,8,,48,1,0,9
Bryant Johnson,JohnBr02,2011,214,27.5,1,,6,0,0,1
Austin Johnson,JohnAu00,2015,240,30.8,1,,6,0,0,2
Austin Johnson,JohnAu00,2014,240,30.8,1,,6,0,0,0
Andre Johnson,JohnAn02,2015,219,27.4,4,,24,0,0,4
Andre Johnson,JohnAn02,2013,219,27.4,5,,30,1,0,8
Andre Johnson,JohnAn02,2016,219,27.4,2,,12,0,0,1
Andre Johnson,JohnAn02,2011,219,27.4,2,,12,0,0,4
Andre Johnson,JohnAn02,2014,219,27.4,3,,18,0,0,8
Andre Johnson,JohnAn02,2012,219,27.4,4,,24,1,0,14
Jerrel Jernigan,JernJe00,2013,181,26.7,3,,18,0,0,2
Jerrel Jernigan,JernJe00,2011,181,26.7,0,,0,0,0,0
Jerrel Jernigan,JernJe00,2012,181,26.7,0,,0,0,0,0
Rashad Jennings,JennRa00,2013,234,30.9,6,,36,0,0,6
Rashad Jennings,JennRa00,2016,234,30.9,4,,24,0,0,5
Rashad Jennings,JennRa00,2014,234,30.9,4,,24,0,0,6
Rashad Jennings,JennRa00,2012,234,30.9,2,1,14,0,0,2
Rashad Jennings,JennRa00,2015,234,30.9,4,,26,0,0,8
Greg Jennings,JennGr00,2011,195,27.2,9,,54,1,0,11
Greg Jennings,JennGr00,2014,195,27.2,6,,36,0,0,6
