YR,Name,PlayerId,Tm,FantPos,Age,G,GS,PCmp,PAtt,PYds,PTD,Int,RAtt,RYds,RY/A,RTD,Tgt,Rec,ReYds,ReY/R,ReTD,FantPt,PosRank,OvRank
2016,David Johnson*+,JohnDa08,ARI,RB,25,16,16,0,0,0,0,0,293,1239,4.23,16,120,80,879,10.99,4,328,1,1
2016,Ezekiel Elliott*+,ElliEz00,DAL,RB,21,15,15,0,0,0,0,0,322,1631,5.07,15,39,32,363,11.34,1,293,2,2
2016,LeSean McCoy*,McCoLe01,BUF,RB,28,15,15,0,0,0,0,0,234,1267,5.41,13,57,50,356,7.12,1,248,3,3
2016,Aaron Rodgers*,RodgAa00,GNB,QB,33,16,16,401,610,4428,40,7,67,369,5.51,4,0,0,0,,0,382,1,4
2016,DeMarco Murray*,MurrDe00,TEN,RB,28,16,16,1,2,10,1,0,293,1287,4.39,9,67,53,377,7.11,3,243,4,5
2016,Le'Veon Bell*,BellLe00,PIT,RB,24,12,12,0,1,0,0,0,261,1268,4.86,7,94,75,616,8.21,2,242,5,6
2016,Devonta Freeman*,FreeDe00,ATL,RB,24,16,16,0,0,0,0,0,227,1079,4.75,11,65,54,462,8.56,2,232,6,7
2016,LeGarrette Blount,BlouLe00,NWE,RB,30,16,8,0,0,0,0,0,299,1161,3.88,18,8,7,38,5.43,0,226,7,8
2016,Matt Ryan*+,RyanMa00,ATL,QB,31,16,16,373,534,4944,38,7,35,117,3.34,0,0,0,0,,0,355,2,9
2016,Mike Evans*,EvanMi00,TAM,WR,23,16,16,0,0,0,0,0,0,0,,0,173,96,1321,13.76,12,208,1,10
2016,Jordy Nelson,NelsJo00,GNB,WR,31,16,16,0,0,0,0,0,0,0,,0,152,97,1257,12.96,14,208,2,11
2016,Antonio Brown*+,BrowAn04,PIT,WR,28,15,15,0,0,0,0,0,3,9,3,0,154,106,1284,12.11,12,207,3,12
2016,Melvin Gordon*,GordMe00,SDG,RB,23,13,11,0,0,0,0,0,254,997,3.93,10,57,41,419,10.22,2,210,8,13
2016,Jordan Howard*,HowaJo00,CHI,RB,22,15,13,0,0,0,0,0,252,1313,5.21,6,50,29,298,10.28,1,201,9,14
2016,Odell Beckham*,BeckOd00,NYG,WR,24,16,16,0,0,0,0,0,1,9,9,0,169,101,1367,13.53,10,196,4,15
2016,Drew Brees*,BreeDr00,NOR,QB,37,16,16,471,673,5208,37,15,23,20,0.87,2,0,0,0,,0,336,3,16
2016,Mark Ingram,IngrMa01,NOR,RB,27,16,14,0,0,0,0,0,205,1043,5.09,6,58,46,319,6.93,4,198,10,17
2016,T.Y. Hilton*,HiltT.00,IND,WR,27,16,16,0,0,0,0,0,0,0,,0,155,91,1448,15.91,6,185,5,18
2016,Jay Ajayi*,AjayJa00,MIA,RB,23,15,12,0,0,0,0,0,260,1272,4.89,8,35,27,151,5.59,0,188,11,19
2016,Julio Jones*+,JoneJu02,ATL,WR,27,14,14,0,0,0,0,0,0,0,,0,129,83,1409,16.98,6,179,6,20
2016,Travis Kelce*+,KelcTr00,KAN,TE,27,16,15,0,0,0,0,0,1,-5,-5,0,117,85,1125,13.24,4,138,1,21
2016,Davante Adams,AdamDa01,GNB,WR,24,16,15,0,0,0,0,0,0,0,,0,121,75,997,13.29,12,174,7,22
2016,Frank Gore,GoreFr00,IND,RB,33,16,16,0,0,0,0,0,263,1025,3.9,4,47,38,277,7.29,4,176,12,23
2016,Latavius Murray,MurrLa00,OAK,RB,26,14,12,0,0,0,0,0,195,788,4.04,12,43,33,264,8,0,175,13,24
2016,Brandin Cooks,CookBr00,NOR,WR,23,16,12,0,0,0,0,0,6,30,5,0,117,78,1173,15.04,8,168,8,25
2016,Greg Olsen*,OlseGr00,CAR,TE,31,16,16,0,0,0,0,0,0,0,,0,129,80,1073,13.41,3,131,2,26
2016,Andrew Luck,LuckAn00,IND,QB,27,15,15,346,545,4240,31,13,64,341,5.33,2,0,0,0,,0,310,4,27
2016,Kyle Rudolph,RudoKy00,MIN,TE,27,16,16,0,0,0,0,0,0,0,,0,132,83,840,10.12,7,128,3,28
2016,Kirk Cousins*,CousKi00,WAS,QB,28,16,16,406,606,4917,25,12,34,96,2.82,4,0,0,0,,0,306,5,29
2016,Michael Thomas,ThomMi05,NOR,WR,23,15,12,0,0,0,0,0,0,0,,0,121,92,1137,12.36,9,164,9,30
2016,Doug Baldwin*,BaldDo00,SEA,WR,28,16,15,1,1,15,1,0,3,2,0.67,0,125,94,1128,12,7,162,10,31
2016,Jimmy Graham*,GrahJi00,SEA,TE,30,16,15,0,0,0,0,0,1,0,0,0,95,65,923,14.2,6,124,4,32
2016,Delanie Walker*,WalkHu00,TEN,TE,32,15,10,0,0,0,0,0,2,11,5.5,0,102,65,800,12.31,7,123,5,33
2016,Isaiah Crowell,CrowIs00,CLE,RB,23,16,16,0,0,0,0,0,198,952,4.81,7,53,40,319,7.98,0,165,14,34
2016,Carlos Hyde,HydeCa00,SFO,RB,26,13,13,0,0,0,0,0,217,988,4.55,6,33,27,163,6.04,3,165,15,35
2016,Spencer Ware,WareSp00,KAN,RB,25,14,14,0,0,0,0,0,214,921,4.3,3,42,33,447,13.55,2,161,16,36
2016,Lamar Miller,MillLa01,HOU,RB,25,14,14,0,0,0,0,0,268,1073,4,5,39,31,188,6.06,1,160,17,37
2016,Tevin Coleman,ColeTe01,ATL,RB,23,13,0,0,0,0,0,0,118,520,4.41,8,40,31,421,13.58,3,160,18,38
2016,Michael Crabtree,CrabMi00,OAK,WR,29,16,16,0,0,0,0,0,0,0,,0,145,89,1003,11.27,8,152,11,39
