YR,Name,PlayerId,Tm,FantPos,Age,G,GS,PCmp,PAtt,PYds,PTD,Int,RAtt,RYds,RY/A,RTD,Tgt,Rec,ReYds,ReY/R,ReTD,FantPt,PosRank,OvRank
2012,Adrian Peterson*+,PeteAd01,MIN,RB,27,16,16,0,0,0,0,0,348,2097,6.03,12,51,40,217,5.43,1,307,1,1
2012,Doug Martin*,MartDo00,TAM,RB,23,16,16,0,0,0,0,0,319,1454,4.56,11,70,49,472,9.63,1,263,2,2
2012,Arian Foster*,FostAr00,HOU,RB,26,16,16,0,0,0,0,0,351,1424,4.06,15,58,40,217,5.43,2,262,3,3
2012,Marshawn Lynch*+,LyncMa00,SEA,RB,26,16,15,0,0,0,0,0,315,1590,5.05,11,30,23,196,8.52,1,247,4,4
2012,Alfred Morris,MorrAl00,WAS,RB,24,16,16,0,0,0,0,0,335,1613,4.81,13,16,11,77,7,0,241,5,5
2012,Calvin Johnson*+,JohnCa00,DET,WR,27,16,16,0,0,0,0,0,0,0,,0,204,122,1964,16.1,5,220,1,6
2012,Brandon Marshall*+,MarsBr00,CHI,WR,28,16,16,0,0,0,0,0,1,-2,-2,0,192,118,1508,12.78,11,217,2,7
2012,Drew Brees*,BreeDr00,NOR,QB,33,16,16,422,670,5177,43,19,15,5,0.33,1,0,0,0,,0,346,1,8
2012,Aaron Rodgers*,RodgAa00,GNB,QB,29,16,16,371,552,4295,39,8,54,259,4.8,2,1,1,-1,-1,0,344,2,9
2012,Ray Rice*,RiceRa00,BAL,RB,25,16,16,0,0,0,0,0,257,1143,4.45,9,83,61,478,7.84,1,222,6,10
2012,Tom Brady*,BradTo00,NWE,QB,35,16,16,401,637,4827,34,8,23,32,1.39,4,0,0,0,,0,340,3,11
2012,Dez Bryant,BryaDe01,DAL,WR,24,16,14,0,0,0,0,0,2,-5,-2.5,0,138,92,1382,15.02,12,208,3,12
2012,A.J. Green*,GreeA.00,CIN,WR,24,16,16,0,0,0,0,0,4,38,9.5,0,164,97,1350,13.92,11,203,4,13
2012,C.J. Spiller*,SpilC.00,BUF,RB,25,16,9,0,0,0,0,0,207,1244,6.01,6,57,43,459,10.67,2,212,7,14
2012,Demaryius Thomas*,ThomDe03,DEN,WR,25,16,16,0,0,0,0,0,0,0,,0,143,94,1434,15.26,10,197,5,15
2012,Jamaal Charles*,CharJa00,KAN,RB,26,16,15,0,0,0,0,0,285,1509,5.29,5,49,35,236,6.74,1,205,8,16
2012,Trent Richardson,RichTr00,CLE,RB,22,15,15,0,0,0,0,0,267,950,3.56,11,70,51,367,7.2,1,204,9,17
2012,Cam Newton,NewtCa00,CAR,QB,23,16,16,280,485,3869,19,12,127,741,5.83,8,1,0,6,,0,323,4,18
2012,Vincent Jackson*,JackVi00,TAM,WR,29,16,16,0,0,0,0,0,0,0,,0,147,72,1384,19.22,8,188,6,19
2012,Stevan Ridley,RidlSt00,NWE,RB,23,16,12,0,0,0,0,0,290,1263,4.36,12,14,6,51,8.5,0,199,10,20
2012,Andre Johnson*,JohnAn02,HOU,WR,31,16,16,0,0,0,0,0,0,0,,0,162,112,1598,14.27,4,186,7,21
2012,Robert Griffin*,GrifRo01,WAS,QB,22,15,15,258,393,3200,20,5,120,815,6.79,7,1,0,0,,0,318,5,22
2012,Frank Gore*,GoreFr00,SFO,RB,29,16,16,0,0,0,0,0,258,1214,4.71,8,36,28,234,8.36,1,197,11,23
2012,Eric Decker,DeckEr00,DEN,WR,25,16,15,0,0,0,0,0,0,0,,0,122,85,1064,12.52,13,184,8,24
2012,Julio Jones*,JoneJu02,ATL,WR,23,16,15,0,0,0,0,0,6,30,5,0,128,79,1198,15.16,10,183,9,25
2012,Peyton Manning*+,MannPe00,DEN,QB,36,16,16,400,583,4659,37,11,23,6,0.26,0,0,0,0,,0,311,6,26
2012,Roddy White,WhitRo00,ATL,WR,31,16,15,0,0,0,0,0,0,0,,0,142,92,1351,14.68,7,177,10,27
2012,Jimmy Graham,GrahJi00,NOR,TE,26,15,9,0,0,0,0,0,0,0,,0,135,85,982,11.55,9,152,1,28
2012,Matt Ryan*,RyanMa00,ATL,QB,27,16,16,422,615,4719,32,14,34,141,4.15,1,0,0,0,,0,305,7,29
2012,Wes Welker*,WelkWe00,NWE,WR,31,16,12,0,0,0,0,0,2,20,10,0,174,118,1354,11.47,6,171,12,30
2012,Marques Colston,ColsMa00,NOR,WR,29,16,13,0,0,0,0,0,0,0,,0,130,83,1154,13.9,10,171,11,31
2012,Victor Cruz*,CruzVi00,NYG,WR,26,16,16,0,0,0,0,0,0,0,,0,143,86,1092,12.7,10,169,13,32
2012,Rob Gronkowski*,GronRo00,NWE,TE,23,11,11,0,0,0,0,0,0,0,,0,79,55,790,14.36,11,143,2,33
2012,Matt Forte,FortMa00,CHI,RB,27,15,15,0,0,0,0,0,248,1094,4.41,5,59,44,340,7.73,1,177,12,34
2012,Michael Crabtree,CrabMi00,SFO,WR,25,16,16,0,0,0,0,0,1,8,8,0,127,85,1105,13,9,165,14,35
2012,Tony Gonzalez*+,GonzTo00,ATL,TE,36,16,16,0,0,0,0,0,0,0,,0,124,93,930,10,8,141,3,36
2012,Chris Johnson,JohnCh04,TEN,RB,27,16,15,0,0,0,0,0,276,1243,4.5,6,49,36,232,6.44,0,176,13,37
