YR,Name,PlayerId,Tm,FantPos,Age,G,GS,PCmp,PAtt,PYds,PTD,Int,RAtt,RYds,RY/A,RTD,Tgt,Rec,ReYds,ReY/R,ReTD,FantPt,PosRank,OvRank
2012,Reggie Wayne*,WaynRe00,IND,WR,34,16,15,0,0,0,0,0,1,-5,-5,0,195,106,1355,12.78,5,163,15,38
2012,James Jones,JoneJa04,GNB,WR,28,16,16,0,0,0,0,0,0,0,,0,98,64,784,12.25,14,162,16,39
2012,Reggie Bush,BushRe00,MIA,RB,27,16,16,0,0,0,0,0,227,986,4.34,6,52,35,292,8.34,2,172,14,40
2012,Shonn Greene,GreeSh00,NYJ,RB,27,16,14,0,0,0,0,0,276,1063,3.85,8,30,19,151,7.95,0,167,15,41
2012,Mike Williams,WillMi04,TAM,WR,25,16,16,1,1,28,0,0,0,0,,0,126,63,996,15.81,9,155,17,42
2012,Heath Miller*,MillHe00,PIT,TE,30,15,15,0,0,0,0,0,0,0,,0,101,71,816,11.49,8,132,4,43
2012,Steven Jackson,JackSt00,STL,RB,29,16,16,0,0,0,0,0,258,1045,4.05,4,53,38,321,8.45,0,163,16,44
2012,Tony Romo,RomoTo00,DAL,QB,32,16,16,425,648,4903,28,19,30,49,1.63,1,1,1,-1,-1,0,279,8,45
2012,Russell Wilson*,WilsRu00,SEA,QB,24,16,16,252,393,3118,26,10,94,489,5.2,4,0,0,0,,0,278,9,46
2012,Michael Turner,TurnMi00,ATL,RB,30,16,16,0,0,0,0,0,222,800,3.6,10,30,19,128,6.74,1,157,17,47
2012,Jason Witten*,WittJa00,DAL,TE,30,16,16,0,0,0,0,0,0,0,,0,147,110,1039,9.45,3,122,5,48
2012,Andrew Luck*,LuckAn00,IND,QB,23,16,16,339,627,4374,23,18,62,255,4.11,5,0,0,0,,0,276,10,49
2012,Ahmad Bradshaw,BradAh00,NYG,RB,26,14,12,0,0,0,0,0,221,1015,4.59,6,31,23,245,10.65,0,156,18,50
2012,Matthew Stafford,StafMa00,DET,QB,24,16,16,435,727,4967,20,17,35,126,3.6,4,1,1,3,3,0,276,11,51
2012,Randall Cobb,CobbRa00,GNB,RB,22,15,8,0,0,0,0,0,10,132,13.2,0,104,80,954,11.93,8,155,19,52
2012,Steve Smith,SmitSt01,CAR,WR,33,16,16,0,0,0,0,0,3,27,9,0,137,73,1174,16.08,4,142,18,53
2012,Lance Moore,MoorLa00,NOR,WR,29,15,7,0,0,0,0,0,0,0,,0,104,65,1041,16.02,6,140,19,54
2012,BenJarvus Green-Ellis,GreeBe00,CIN,RB,27,15,15,0,0,0,0,0,278,1094,3.94,6,30,22,104,4.73,0,152,20,55
2012,Steve Johnson,JohnSt00,BUF,WR,26,16,16,0,0,0,0,0,0,0,,0,148,79,1046,13.24,6,139,20,56
2012,Cecil Shorts,ShorCe00,JAX,WR,25,14,9,0,0,0,0,0,1,-4,-4,0,105,55,979,17.8,7,138,21,57
2012,Mikel Leshoure,LeshMi00,DET,RB,22,14,14,0,0,0,0,0,215,798,3.71,9,49,34,214,6.29,0,149,21,58
2012,Greg Olsen,OlseGr00,CAR,TE,27,16,16,0,0,0,0,0,0,0,,0,104,69,843,12.22,5,114,6,59
2012,Torrey Smith,SmitTo02,BAL,WR,23,16,16,0,0,0,0,0,3,9,3,0,110,49,855,17.45,8,134,22,60
2012,LeSean McCoy,McCoLe01,PHI,RB,24,12,12,0,0,0,0,0,200,840,4.2,2,67,54,373,6.91,3,145,22,61
2012,Dennis Pitta,PittDe00,BAL,TE,27,16,5,0,0,0,0,0,0,0,,0,94,61,669,10.97,7,109,7,62
2012,T.Y. Hilton,HiltT.00,IND,WR,23,15,1,0,1,0,0,0,5,29,5.8,0,90,50,861,17.22,7,131,23,63
2012,Mike Wallace,WallMi00,PIT,WR,26,15,14,0,0,0,0,0,5,7,1.4,0,119,64,836,13.06,8,130,24,64
2012,Owen Daniels*,DaniOw00,HOU,TE,30,15,14,0,0,0,0,0,0,0,,0,104,62,716,11.55,6,108,8,65
2012,Darren Sproles,SproDa00,NOR,RB,29,13,6,0,0,0,0,0,48,244,5.08,1,104,75,667,8.89,7,141,23,66
2012,Miles Austin,AustMi00,DAL,WR,28,16,15,0,0,0,0,0,0,0,,0,119,66,943,14.29,6,128,25,67
2012,Kyle Rudolph*,RudoKy00,MIN,TE,23,16,16,0,0,0,0,0,0,0,,0,93,53,493,9.3,9,105,9,68
2012,Brandon Myers,MyerBr00,OAK,TE,27,16,16,0,0,0,0,0,0,0,,0,105,79,806,10.2,4,105,10,69
2012,Jeremy Maclin,MaclJe00,PHI,WR,24,15,15,0,0,0,0,0,0,0,,0,122,69,857,12.42,7,126,26,70
2012,Jermaine Gresham*,GresJe00,CIN,TE,24,16,15,0,0,0,0,0,0,0,,0,94,64,737,11.52,5,102,11,71
2012,Justin Blackmon,BlacJu00,JAX,WR,22,16,14,0,0,0,0,0,2,23,11.5,0,132,64,865,13.52,5,121,27,72
2012,Jordy Nelson,NelsJo00,GNB,WR,27,12,10,0,0,0,0,0,0,0,,0,73,49,745,15.2,7,119,28,73
2012,Andy Dalton,DaltAn00,CIN,QB,25,16,16,329,528,3669,27,16,47,120,2.55,4,0,0,0,,0,251,12,74
2012,DeAngelo Williams,WillDe02,CAR,RB,29,16,10,0,0,0,0,0,173,737,4.26,5,20,13,187,14.38,2,130,24,76
2012,Antonio Gates,GateAn00,SDG,TE,32,15,15,0,0,0,0,0,0,0,,0,80,49,538,10.98,7,96,12,77
2012,Josh Freeman,FreeJo00,TAM,QB,24,16,16,306,558,4065,27,17,39,139,3.56,0,0,0,0,,0,249,13,
2012,Joe Flacco,FlacJo00,BAL,QB,27,16,16,317,531,3817,22,10,32,22,0.69,3,0,0,0,,0,235,14,
2012,Eli Manning*,MannEl00,NYG,QB,31,16,16,321,536,3948,26,15,20,30,1.5,0,0,0,0,,0,233,15,
2012,Sam Bradford,BradSa00,STL,QB,25,16,16,328,551,3702,21,13,36,124,3.44,1,0,0,0,,0,230,16,
2012,Matt Schaub*,SchaMa00,HOU,QB,31,16,16,350,544,4008,22,12,21,-9,-0.43,0,1,1,-6,-6,0,225,17,
2012,Carson Palmer,PalmCa00,OAK,QB,33,15,15,345,565,4018,22,14,18,36,2,1,0,0,0,,0,224,18,
2012,Ben Roethlisberger,RoetBe00,PIT,QB,30,13,13,284,449,3265,26,8,26,92,3.54,0,0,0,0,,0,224,19,
2012,Ryan Fitzpatrick,FitzRy00,BUF,QB,30,16,16,306,505,3400,24,16,48,197,4.1,1,0,0,0,,0,214,20,
2012,Philip Rivers,RivePh00,SDG,QB,31,16,16,338,527,3606,26,15,27,40,1.48,0,1,0,0,,0,208,21,
2012,Christian Ponder,PondCh00,MIN,QB,24,16,16,300,483,2935,18,12,60,253,4.22,2,1,1,-15,-15,0,193,22,
2012,Jay Cutler,CutlJa00,CHI,QB,29,15,15,255,434,3033,19,14,41,233,5.68,0,0,0,0,,0,185,23,
2012,Ryan Tannehill,TannRy00,MIA,QB,24,16,16,282,484,3294,12,13,49,211,4.31,2,0,0,0,,0,183,24,
2012,Colin Kaepernick,KaepCo00,SFO,QB,25,13,7,136,218,1814,10,3,63,415,6.59,5,0,0,0,,0,174,25,
2012,Brandon Weeden,WeedBr00,CLE,QB,29,15,15,297,517,3385,14,17,27,111,4.11,0,1,0,-9,,0,166,26,
2012,Michael Vick,VickMi00,PHI,QB,32,10,10,204,351,2362,12,10,62,332,5.35,1,0,0,0,,0,152,27,
2012,Jake Locker,LockJa00,TEN,QB,24,11,11,177,314,2176,10,11,41,291,7.1,1,1,0,0,,0,132,28,
2012,Alex Smith,SmitAl03,SFO,QB,28,10,9,153,218,1737,13,5,31,132,4.26,0,0,0,0,,0,123,29,
2012,Anquan Boldin,BoldAn00,BAL,WR,32,15,15,0,0,0,0,0,1,3,3,0,112,65,921,14.17,4,118,30,
2012,Sidney Rice,RiceSi01,SEA,WR,26,16,16,1,2,25,0,0,2,6,3,0,82,50,748,14.96,7,118,29,
2012,Mark Sanchez,SancMa00,NYJ,QB,26,15,15,246,453,2883,13,18,22,28,1.27,0,0,0,0,,0,118,30,
2012,Danny Woodhead,WoodDa02,NWE,RB,27,16,2,0,0,0,0,0,76,301,3.96,4,55,40,446,11.15,3,117,25,
2012,Denarius Moore,MoorDe02,OAK,WR,24,15,15,0,0,0,0,0,1,-5,-5,0,114,51,741,14.53,7,116,32,
2012,Golden Tate,TateGo00,SEA,WR,24,15,15,1,1,23,1,0,3,20,6.67,0,68,45,688,15.29,7,116,31,
2012,Vick Ballard,BallVi00,IND,RB,22,16,12,0,0,0,0,0,211,814,3.86,2,27,17,152,8.94,1,115,26,
2012,Brandon Lloyd,LloyBr00,NWE,WR,31,16,15,0,0,0,0,0,0,0,,0,131,74,911,12.31,4,115,33,
2012,Chad Henne,HennCh01,JAX,QB,27,10,6,166,308,2084,11,11,19,64,3.37,1,0,1,-6,-6,0,113,31,
2012,Willis McGahee,McGaWi00,DEN,RB,31,10,9,0,0,0,0,0,167,731,4.38,4,33,26,221,8.5,0,113,27,
2012,Brian Hartline,HartBr00,MIA,WR,26,16,15,0,0,0,0,0,0,0,,0,131,74,1083,14.64,1,112,34,
2012,Malcom Floyd,FloyMa00,SDG,WR,31,14,14,0,0,0,0,0,0,0,,0,85,56,814,14.54,5,111,35,
2012,Darren McFadden,McFaDa00,OAK,RB,25,12,12,0,0,0,0,0,216,707,3.27,2,63,42,258,6.14,1,111,29,
2012,DeMarco Murray,MurrDe00,DAL,RB,24,10,10,0,0,0,0,0,161,663,4.12,4,42,35,251,7.17,0,111,28,
2012,Josh Gordon,GordJo02,CLE,WR,21,16,13,0,0,0,0,0,0,0,,0,96,50,805,16.1,5,109,37,
2012,Andre Roberts,RobeAn00,ARI,WR,24,15,15,0,0,0,0,0,4,29,7.25,0,114,64,759,11.86,5,109,36,
2012,Danario Alexander,AlexDa00,SDG,WR,26,10,6,0,1,0,0,0,0,0,,0,62,37,658,17.78,7,108,38,
2012,Antonio Brown,BrowAn04,PIT,WR,24,13,10,0,2,0,0,1,7,24,3.43,0,106,66,787,11.92,5,105,39,
2012,Santana Moss,MossSa00,WAS,WR,33,16,1,0,0,0,0,0,3,14,4.67,0,62,41,573,13.98,8,105,40,
2012,Joique Bell,BellJo01,DET,RB,26,16,0,0,0,0,0,0,82,414,5.05,3,68,52,485,9.33,0,104,30,
2012,Larry Fitzgerald*,FitzLa00,ARI,WR,29,16,16,0,0,0,0,0,0,0,,0,156,71,798,11.24,4,104,41,
2012,Brandon Gibson,GibsBr00,STL,WR,25,16,13,0,0,0,0,0,0,0,,0,82,51,691,13.55,5,99,43,
2012,Percy Harvin,HarvPe00,MIN,WR,24,9,8,0,0,0,0,0,22,96,4.36,1,85,62,677,10.92,3,99,42,
2012,Nate Washington,WashNa00,TEN,WR,29,16,14,0,0,0,0,0,0,0,,0,89,46,746,16.22,4,99,44,
2012,Ryan Mathews,MathRy00,SDG,RB,25,12,9,0,0,0,0,0,184,707,3.84,1,56,39,252,6.46,0,98,31,
2012,Donnie Avery,AverDo00,IND,WR,28,16,15,0,0,0,0,0,4,9,2.25,0,124,60,781,13.02,3,97,45,
2012,Andre Brown,BrowAn03,NYG,RB,26,10,2,0,0,0,0,0,73,385,5.27,8,17,12,86,7.17,0,97,32,
2012,Dwayne Bowe,BoweDw00,KAN,WR,28,13,12,0,0,0,0,0,0,0,,0,114,59,801,13.58,3,96,46,
2012,Brandon LaFell,LaFeBr00,CAR,WR,26,14,12,0,0,0,0,0,3,35,11.67,0,76,44,677,15.39,4,95,47,
2012,Pierre Thomas,ThomPi00,NOR,RB,28,15,4,0,0,0,0,0,105,473,4.5,1,53,39,354,9.08,1,95,33,
2012,Blaine Gabbert,GabbBl00,JAX,QB,23,10,10,162,278,1662,9,6,18,56,3.11,0,0,0,0,,0,94,32,
2012,Martellus Bennett,BennMa00,NYG,TE,25,16,16,0,0,0,0,0,0,0,,0,89,55,626,11.38,5,93,13,
2012,Mark Ingram,IngrMa01,NOR,RB,23,16,5,0,0,0,0,0,156,602,3.86,5,10,6,29,4.83,0,93,34,
2012,Darrius Heyward-Bey,HeywDa00,OAK,WR,25,15,14,0,0,0,0,0,2,16,8,0,80,41,606,14.78,5,92,48,
2012,Felix Jones,JoneFe00,DAL,RB,25,16,7,0,0,0,0,0,111,402,3.62,3,36,25,262,10.48,2,92,35,
2012,Scott Chandler,ChanSc00,BUF,TE,27,15,13,0,0,0,0,0,0,0,,0,74,43,571,13.28,6,91,14,
2012,Chris Givens,GiveCh00,STL,WR,23,15,12,0,0,0,0,0,3,12,4,0,80,42,698,16.62,3,91,50,
2012,Jeremy Kerley,KerlJe00,NYJ,WR,24,16,7,1,1,42,0,0,5,8,1.6,0,95,56,827,14.77,2,91,49,
2012,Knowshon Moreno,MoreKn00,DEN,RB,25,8,6,0,0,0,0,0,138,525,3.8,4,26,21,167,7.95,0,91,36,
2012,Greg Little,LittGr00,CLE,WR,23,16,16,0,0,0,0,0,2,15,7.5,0,94,53,647,12.21,4,90,51,
2012,Pierre Garcon,GarcPi00,WAS,WR,26,10,10,0,0,0,0,0,2,9,4.5,0,68,44,633,14.39,4,88,52,
2012,Jacquizz Rodgers,RodgJa00,ATL,RB,22,16,0,0,0,0,0,0,94,362,3.85,1,59,53,402,7.58,1,88,37,
2012,Hakeem Nicks,NickHa01,NYG,WR,24,13,11,0,0,0,0,0,0,0,,0,100,53,692,13.06,3,87,53,
2012,Mike Tolbert,TolbMi00,CAR,RB,27,16,5,0,0,0,0,0,54,183,3.39,7,39,27,268,9.93,0,87,38,
2012,Nick Foles,FoleNi00,PHI,QB,23,7,6,161,265,1699,6,5,11,42,3.82,1,0,0,0,,0,86,33,
2012,Vernon Davis,DaviVe00,SFO,TE,28,16,16,0,0,0,0,0,0,0,,0,61,41,548,13.37,5,85,15,
2012,Kevin Kolb,KolbKe00,ARI,QB,28,6,5,109,183,1169,8,3,16,100,6.25,1,0,0,0,,0,85,34,
2012,Kendall Wright,WrigKe01,TEN,WR,23,15,5,0,0,0,0,0,1,4,4,0,104,64,626,9.78,4,85,54,
2012,Davone Bess,BessDa00,MIA,WR,27,13,13,0,0,0,0,0,0,0,,0,104,61,778,12.75,1,84,56,
2012,Brandon Stokley,StokBr00,DEN,WR,36,15,9,0,0,0,0,0,0,0,,0,58,45,544,12.09,5,84,55,
2012,Danny Amendola,AmenDa00,STL,WR,27,11,8,0,0,0,0,0,2,8,4,0,101,63,666,10.57,3,83,57,
2012,Kenny Britt,BritKe00,TEN,WR,24,14,11,0,0,0,0,0,0,0,,0,90,45,589,13.09,4,83,58,
2012,Marcel Reece*,ReecMa00,OAK,RB,27,16,14,0,0,0,0,0,59,271,4.59,0,73,52,496,9.54,1,83,39,
2012,Bilal Powell,PoweBi00,NYJ,RB,24,14,2,0,0,0,0,0,110,437,3.97,4,36,17,140,8.24,0,82,40,
2012,Jonathan Dwyer,DwyeJo00,PIT,RB,23,13,6,0,0,0,0,0,156,623,3.99,2,25,18,106,5.89,0,81,42,
2012,DeSean Jackson,JackDe00,PHI,WR,26,11,11,0,0,0,0,0,3,-7,-2.33,0,87,45,700,15.56,2,81,59,
2012,Fred Jackson,JackFr02,BUF,RB,31,10,8,0,0,0,0,0,115,437,3.8,3,42,34,217,6.38,1,81,41,
2012,Bryce Brown,BrowBr02,PHI,RB,21,16,4,0,0,0,0,0,115,564,4.9,4,19,13,56,4.31,0,80,43,
2012,Andrew Hawkins,HawkAn00,CIN,WR,26,14,2,0,0,0,0,0,6,30,5,0,80,51,533,10.45,4,80,60,
2012,Aaron Hernandez,HernAa00,NWE,TE,23,10,10,0,0,0,0,0,1,5,5,0,83,51,483,9.47,5,79,16,
2012,Matt Cassel,CassMa00,KAN,QB,30,9,8,161,277,1796,6,12,27,145,5.37,1,0,0,0,,0,78,35,
2012,Lance Kendricks,KendLa00,STL,RB,24,16,14,0,0,0,0,0,0,0,,0,64,42,519,12.36,4,78,44,
2012,Marcedes Lewis,LewiMa00,JAX,TE,28,16,15,0,0,0,0,0,0,0,,0,77,52,540,10.38,4,78,17,
2012,Michael Bush,BushMi00,CHI,RB,28,13,1,0,0,0,0,0,114,411,3.61,5,11,9,83,9.22,0,77,45,
2012,Jermichael Finley,FinlJe00,GNB,TE,25,16,14,0,0,0,0,0,0,0,,0,87,61,667,10.93,2,77,18,
2012,Matt Hasselbeck,HassMa00,TEN,QB,37,8,5,138,221,1367,7,5,13,38,2.92,0,0,0,0,,0,76,36,
2012,Rod Streater,StreRo00,OAK,WR,24,16,2,0,0,0,0,0,0,0,,0,74,39,584,14.97,3,76,61,
2012,Jared Cook,CookJa02,TEN,TE,25,13,5,0,0,0,0,0,0,0,,0,73,44,523,11.89,4,74,19,
2012,Leonard Hankerson,HankLe00,WAS,WR,24,16,5,0,0,0,0,0,2,5,2.5,0,57,38,543,14.29,3,73,62,
2012,Brent Celek,CeleBr00,PHI,TE,27,15,14,0,0,0,0,0,0,0,,0,88,57,684,12,1,72,20,
2012,Dwayne Allen,AlleDw00,IND,TE,22,16,16,0,0,0,0,0,3,5,1.67,0,66,45,521,11.58,3,71,22,
2012,Brandon Pettigrew,PettBr00,DET,TE,27,14,11,0,0,0,0,0,0,0,,0,102,59,567,9.61,3,71,21,
2012,Isaac Redman,RedmIs20,PIT,RB,28,14,5,0,0,0,0,0,110,410,3.73,2,23,19,244,12.84,0,71,46,
2012,LaRod Stephens-Howling,StepLa00,ARI,RB,25,14,5,0,0,0,0,0,110,356,3.24,4,30,17,106,6.24,0,70,47,
2012,Domenik Hixon,HixoDo00,NYG,WR,28,13,3,0,0,0,0,0,0,0,,0,59,39,567,14.54,2,69,63,
2012,Kevin Ogletree,OgleKe00,DAL,WR,25,15,1,0,0,0,0,0,2,9,4.5,0,55,32,436,13.63,4,69,64,
2012,Dallas Clark,ClarDa00,TAM,TE,33,16,7,0,0,0,0,0,0,0,,0,75,47,435,9.26,4,68,24,
2012,Donald Jones,JoneDo00,BUF,WR,25,12,10,0,0,0,0,0,0,0,,0,67,41,443,10.8,4,68,65,
2012,Jacob Tamme,TammJa00,DEN,TE,27,16,8,0,0,0,0,0,0,0,,0,85,52,555,10.67,2,68,25,
2012,Daniel Thomas,ThomDa03,MIA,RB,25,12,0,0,0,0,0,0,91,325,3.57,4,22,15,156,10.4,0,68,48,
2012,Ben Watson,WatsBe00,CLE,TE,32,16,14,0,0,0,0,0,0,0,,0,82,49,501,10.22,3,68,23,
2012,David Wilson,WilsDa01,NYG,RB,21,16,2,0,0,0,0,0,71,358,5.04,4,9,4,34,8.5,1,67,49,
2012,Jackie Battle,BattJa00,SDG,RB,29,16,5,0,0,0,0,0,95,311,3.27,3,15,15,108,7.2,1,66,50,
2012,Joel Dreessen,DreeJo00,DEN,TE,30,16,15,0,0,0,0,0,0,0,,0,58,41,356,8.68,5,66,26,
2012,Michael Floyd,FloyMi00,ARI,WR,23,16,3,0,0,0,0,0,0,0,,0,86,45,562,12.49,2,66,66,
2012,Josh Morgan,MorgJo00,WAS,WR,27,16,15,0,1,0,0,0,3,25,8.33,0,73,48,510,10.63,2,66,67,
2012,Jason Avant,AvanJa00,PHI,WR,29,14,6,0,0,0,0,0,0,0,,0,76,53,648,12.23,0,65,69,
2012,Anthony Fasano,FasaAn00,MIA,TE,28,16,16,0,0,0,0,0,0,0,,0,69,41,332,8.1,5,65,27,
2012,Emmanuel Sanders,SandEm00,PIT,WR,25,16,7,0,0,0,0,0,1,4,4,0,75,44,626,14.23,1,65,68,
2012,Bernard Pierce,PierBe00,BAL,RB,22,16,0,0,0,0,0,0,108,532,4.93,1,11,7,47,6.71,0,64,51,
2012,Kevin Walter,WaltKe00,HOU,WR,31,16,14,0,0,0,0,0,0,0,,0,68,41,518,12.63,2,64,71,
2012,Titus Young,YounTi00,DET,WR,23,10,8,0,0,0,0,0,2,16,8,0,56,33,383,11.61,4,64,70,
2012,Maurice Jones-Drew,DrewMa00,JAX,RB,27,6,5,0,0,0,0,0,86,414,4.81,1,18,14,86,6.14,1,62,52,
2012,Daryl Richardson,RichDa00,STL,RB,22,16,0,0,0,0,0,0,98,475,4.85,0,36,24,163,6.79,0,62,54,
2012,Shane Vereen,VereSh00,NWE,RB,23,13,1,0,0,0,0,0,62,251,4.05,3,13,8,149,18.63,1,62,53,
2012,Greg Jennings,JennGr00,GNB,WR,29,8,5,0,0,0,0,0,0,0,,0,62,36,366,10.17,4,61,73,
2012,Randy Moss,MossRa00,SFO,WR,35,16,2,0,0,0,0,0,0,0,,0,50,28,434,15.5,3,61,72,
2012,Jonathan Stewart,StewJo00,CAR,RB,25,9,6,0,0,0,0,0,93,336,3.61,1,23,17,157,9.24,1,61,55,
2012,Donald Brown,BrowDo00,IND,RB,25,10,4,0,0,0,0,0,108,417,3.86,1,13,9,93,10.33,0,59,57,
2012,Ronnie Brown,BrowRo05,SDG,RB,31,14,1,0,0,0,0,0,46,220,4.78,0,59,49,371,7.57,0,59,56,
2012,Alex Green,GreeAl00,GNB,RB,24,12,4,0,0,0,0,0,135,464,3.44,0,30,18,125,6.94,0,59,58,
2012,Zach Miller,MillZa01,SEA,TE,27,16,15,0,0,0,0,0,0,0,,0,53,38,396,10.42,3,58,28,
2012,Michael Jenkins,JenkMi00,MIN,WR,30,16,8,0,0,0,0,0,0,0,,0,72,40,449,11.23,2,57,74,
2012,Joe Morgan,MorgJo01,NOR,WR,24,14,5,0,0,0,0,0,1,1,1,0,21,10,379,37.9,3,56,75,
2012,Tony Scheffler,ScheTo00,DET,TE,29,15,4,0,0,0,0,0,0,0,,0,85,42,504,12,1,56,29,
2012,Doug Baldwin,BaldDo00,SEA,WR,24,14,4,0,0,0,0,0,0,0,,0,50,29,366,12.62,3,55,78,
2012,Alshon Jeffery,JeffAl00,CHI,WR,22,10,6,0,0,0,0,0,0,0,,0,48,24,367,15.29,3,55,77,
2012,Mario Manningham,MannMa01,SFO,WR,26,12,10,0,0,0,0,0,3,64,21.33,0,57,42,449,10.69,1,55,76,
2012,Tiquan Underwood,UndeTi00,TAM,WR,25,14,3,0,0,0,0,0,1,1,1,0,55,28,425,15.18,2,55,79,
2012,Jeff Cumberland,CumbJe00,NYJ,TE,25,15,12,0,0,0,0,0,0,0,,0,53,29,359,12.38,3,54,30,
2012,Dexter McCluster,McClDe00,KAN,WR,23,16,6,0,0,0,0,0,12,70,5.83,0,77,52,452,8.69,1,54,80,
